试剂耗材统计表,,,,,,,,,,,,,,,,,,,,,,,,,,,
试剂/耗材名称,品牌,规格,采购时间,有效期,单价,存放位置,库存总量,,,,,,,,,,,,,,,,,,,,
2-甲基3-庚酮,,250mg/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
BCA蛋白标准液,南京建成,524ug/ml,,,,北202冰箱冷冻,3,,,,,,,,,,,,,,,,,,,,
鸟苷酸,坛墨质检,100mg/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
尿苷酸,上海源叶,20mg/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
carbon mini-columns,cape technology,,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
DTT,amresco,5g/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
腺苷5-三氢二钠盐酸盐,sigma,1g/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
甲酯分析标准品,sigma,250mg/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
L-精氨酸,国药,100g/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
4-溴苯硼酸,sigma,5g/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
TAME,sigma,5g/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
胰蛋白酶,sigma,1g/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
胰酶,sigma,5g/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
胃酶,sigma,1g/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
甘油三油酸酯,上海源叶,100ml/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
3硬脂酸甘油酯,上海源叶,25g/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
3棕榈树甘油酯,上海源叶,1g/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
邻苯二甲醛,索莱宝,10g/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
牛磺脱氧胆酸,sigma,1g/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
蛋白酶抑制剂,索莱宝,5mg/袋,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
胰腺a蛋白酶,sigma,25g/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
甲硫氨酸,国药,,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
碱性磷酸酶,sigma,1g/瓶,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
pancreatin鼠尾消化液模拟液,晓东宜健,50ml,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
石胆酸,sigma,25g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
猪去氧胆酸,sigma,5g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
胆酸,sigma,25g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
甘氨鹅脱氧胆酸钠,sigma,25mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
"
牛磺石胆酸钠",sigma,25mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
11碳酸3甘油酯,上海源叶,100mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
脱氧胆酸,sigma,10g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
水和牛磺胆酸钠,sigma,250mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
熊去氧胆酸,sigma,1g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
牛磺胆酸钠水合物,sigma,1g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
鹅脱氧胆酸钠,sigma,100mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
糖化去羟胆酸,sigma,1g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
合成甘氨胆酸水合物,sigma,100mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
牛磺熊去氧胆酸,sigma,500mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
甘氨脱氧胆酸钠,sigma,250mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
鹅去氧胆酸,sigma,100mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
牛磺猪胆酸钠,,10g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
牛磺b胆酸,avantl,1mg,,,,北202冰箱冷冻,4,,,,,,,,,,,,,,,,,,,,
ripa组织细胞裂解液,coolaber,100ml,,,,北202冰箱冷冻,2,,,,,,,,,,,,,,,,,,,,
1-棕榈酸单甘油酯,上海源叶,100mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
peg,,,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
二十烷酸甲酯,accu,100mg,,,,北202冰箱冷冻,3,,,,,,,,,,,,,,,,,,,,
